Uses Octree;Spheres;Max Octree Depth;Num Samples;Max Rays Depth;Screen Width;Screen Height;Min;Max;Avg;Min FPS;Max FPS;Avg FPS
0; 250; -1; 16; 16; 800; 600; 0.0726306; 0.0818255; 0.0769249; 12.2211; 13.7683; 13.0048
0; 250; -1; 16; 16; 1920; 1080; 0.217886; 0.334247; 0.279195; 2.9918; 4.58955; 3.58441
0; 250; -1; 32; 4; 800; 600; 0.123337; 0.135092; 0.128547; 7.40238; 8.10787; 7.78127
0; 250; -1; 32; 4; 1920; 1080; 0.477982; 0.496162; 0.487057; 2.01547; 2.09213; 2.05324
0; 250; -1; 32; 8; 800; 600; 0.148578; 0.162413; 0.15517; 6.15714; 6.73046; 6.44615
0; 250; -1; 32; 8; 1920; 1080; 0.563208; 0.59935; 0.579391; 1.66847; 1.77554; 1.72605
0; 250; -1; 32; 16; 800; 600; 0.151211; 0.165177; 0.15776; 6.0541; 6.61326; 6.34014
0; 250; -1; 32; 16; 1920; 1080; 0.553176; 0.582198; 0.565319; 1.71763; 1.80774; 1.76901
0; 500; -1; 4; 4; 800; 600; 0.0367314; 0.0394815; 0.0379832; 25.3283; 27.2247; 26.3318
0; 500; -1; 4; 4; 1920; 1080; 0.102197; 0.169084; 0.142645; 5.91423; 9.78503; 7.18621
0; 500; -1; 4; 8; 800; 600; 0.0261695; 0.0603951; 0.0457948; 16.5576; 38.2124; 22.1081
0; 500; -1; 4; 8; 1920; 1080; 0.182672; 0.201186; 0.192339; 4.97053; 5.47428; 5.19963
0; 500; -1; 4; 16; 800; 600; 0.0463137; 0.0542698; 0.0495701; 18.4265; 21.5919; 20.1827
0; 500; -1; 4; 16; 1920; 1080; 0.189734; 0.215181; 0.194919; 4.64726; 5.27053; 5.13189
0; 500; -1; 16; 4; 800; 600; 0.147427; 0.158573; 0.152254; 6.30626; 6.78302; 6.56895
0; 500; -1; 16; 4; 1920; 1080; 0.565627; 0.623327; 0.573275; 1.60429; 1.76795; 1.74455
0; 500; -1; 16; 8; 800; 600; 0.187558; 0.201595; 0.193703; 4.96045; 5.3317; 5.16372
0; 500; -1; 16; 8; 1920; 1080; 0.704234; 0.734122; 0.719175; 1.36217; 1.41998; 1.39057
0; 500; -1; 16; 16; 800; 600; 0.192888; 0.211363; 0.19943; 4.73119; 5.18436; 5.01578
0; 500; -1; 16; 16; 1920; 1080; 0.709171; 0.740163; 0.719914; 1.35105; 1.4101; 1.3892
0; 500; -1; 32; 4; 800; 600; 0.268027; 0.31967; 0.30072; 3.12822; 3.73097; 3.32646
0; 500; -1; 32; 4; 1920; 1080; 1.15997; 1.20736; 1.17882; 0.828256; 0.862093; 0.848361
0; 500; -1; 32; 8; 800; 600; 0.369939; 0.401696; 0.382001; 2.48945; 2.70314; 2.6183
0; 500; -1; 32; 8; 1920; 1080; 1.4629; 1.53066; 1.48995; 0.653315; 0.683576; 0.671223
0; 500; -1; 32; 16; 800; 600; 0.386319; 0.420633; 0.402423; 2.37737; 2.58853; 2.48542
0; 500; -1; 32; 16; 1920; 1080; 1.45299; 1.52019; 1.47444; 0.657813; 0.688237; 0.67828
0; 1000; -1; 4; 4; 800; 600; 0.0715964; 0.086734; 0.0793562; 11.5295; 13.9672; 12.6075
0; 1000; -1; 4; 4; 1920; 1080; 0.313889; 0.330074; 0.317964; 3.02963; 3.18584; 3.14523
0; 1000; -1; 4; 8; 800; 600; 0.10437; 0.118713; 0.108333; 8.42367; 9.58132; 9.2343
