Uses Octree;Spheres;Max Octree Depth;Min Spheres Per Node;Num Samples;Max Rays Depth;Screen Width;Screen Height;Min;Max;Avg;Min FPS;Max FPS;Avg FPS;Octree Build Time
1;1000;1;1;4;4;800;600;0.0211507;0.0284038;0.0268324;35.2066;47.2798;37.3388;0.0005257
1;1000;2;0;4;4;800;600;0.0086418;0.0140058;0.0120621;71.399;115.717;83.3288;0.0016192
1;1000;2;1;4;4;800;600;0.0065788;0.0140595;0.0118732;71.1263;152.003;85.6131;0.000964
1;1000;3;0;4;4;800;600;0.0099583;0.0128064;0.0112157;78.086;100.419;89.3851;0.0017025
1;1000;3;1;4;4;800;600;0.0100671;0.01243;0.0110197;80.4505;99.3335;91.0913;0.0017277
1;1000;4;0;4;4;800;600;0.0169736;0.0208145;0.0182278;48.0434;58.915;55.0247;0.0034226
1;1000;4;1;4;4;800;600;0.0119532;0.0191789;0.0164029;52.1406;83.6596;61.2759;0.0030029
1;1000;5;0;4;4;800;600;0.0250182;0.0277824;0.0265354;35.994;39.9709;37.7036;0.0076549
1;1000;5;1;4;4;800;600;0.0196966;0.0235721;0.0214156;42.423;50.7702;46.7633;0.00434
1;2000;0;0;4;4;800;600;0.135323;0.143668;0.138737;6.96049;7.38972;7.20921;0.0001067
1;2000;0;1;4;4;800;600;0.131265;0.1369;0.133593;7.30461;7.61816;7.48608;0.0001076
1;2000;1;0;4;4;800;600;0.0529261;0.0613676;0.0591159;16.2952;18.8943;16.9253;0.001089
1;2000;1;1;4;4;800;600;0.0585423;0.0634;0.0608741;15.7729;17.0817;16.4329;0.0012705
1;2000;2;0;4;4;800;600;0.0232934;0.025692;0.0243933;38.9226;42.9306;41.0157;0.0024844
1;2000;2;1;4;4;800;600;0.0240609;0.0277233;0.0257827;36.0707;41.5612;38.8132;0.0022588
1;2000;3;0;4;4;800;600;0.016137;0.0197737;0.0171379;50.5722;61.9694;58.4217;0.0036883
1;2000;3;1;4;4;800;600;0.0137094;0.0200114;0.0176836;49.9715;72.9427;56.7542;0.0038797
1;2000;4;0;4;4;800;600;0.0242391;0.0268904;0.0254503;37.188;41.2557;39.3102;0.0086326
1;2000;4;1;4;4;800;600;0.0213122;0.02466;0.0235613;40.5515;46.9215;42.4675;0.0087886
1;2000;5;0;4;4;800;600;0.031147;0.0385142;0.0370078;25.9644;32.1058;27.0482;0.0148005
1;2000;5;1;4;4;800;600;0.0313693;0.0395405;0.0378112;25.2905;31.8783;26.4709;0.0135578
